IP,Score
34.59.87.166,0
34.122.85.123,1
20.201.111.36,0
20.201.110.208,0
154.83.103.108,8
154.83.103.205,9
154.83.103.115,9
34.60.150.69,0
154.83.103.135,6
154.83.103.236,5
72.50.2.247,0
154.83.103.106,10
213.209.150.221,1
78.153.140.224,11
31.220.96.115,4
179.6.82.36,0
169.197.140.164,0
34.57.178.29,0
200.26.184.43,0
200.26.184.33,2
118.71.197.78,0
200.119.186.141,0
200.62.5.246,0
201.201.215.31,0
35.222.111.45,0
34.132.79.250,4
34.57.192.112,0
35.202.168.247,0
154.83.103.144,5
154.83.103.111,8
